"Serial_No","Creation_Date","Category"
"100","2022-11-03","Life_Insurance"
"104","2022-06-30","Life_Insurance"
"105","2022-06-30","Car_Insurance"
"106","2022-06-30","Fire_Insurance"
"107","2022-06-30","Life_Insurance"
"108","2022-06-30","Fire_Insurance"
"109","2022-06-30","Property_Insurance"
"110","2022-06-30","Property_Insurance"
"111","2022-08-09","Life_Insurance"
"112","2022-08-10","Property_Insurance"
"113","2022-08-10","Fire_Insurance"
"114","2022-08-22","Car_Insurance"
"116","2022-08-22","Car_Insurance"
"117","2022-08-22","Life_Insurance"
"118","2022-08-22","Fire_Insurance"
"119","2022-08-23","Fire_Insurance"
"120","2022-08-23","Life_Insurance"
"121","2022-08-23","Car_Insurance"
"122","2022-08-23","Fire_Insurance"
"123","2022-08-24","Property_Insurance"
"125","2022-08-24","Life_Insurance"
"130","2022-12-01","Life_Insurance"
"135","2022-12-01","Life_Insurance"
